Date,doy,Aquifer,PE,month,mday,is_holiday,wday,API,lagAPI,Tmax,Tmaxlag1,Sun,Sunlag1,WVRain,KerburnRain,Rain_L7DAYS,Rain_L6DAYS,Rain_L5DAYS,Rain_L4DAYS,Rain_L3DAYS,Rain_L2DAYS,Season,Rainlag1,Rainlag2,Rainlag3,PElag1,PElag2,PElag3,ANcyc,storage,Storagelag1,Wellington High Moa fTemp,Wellington High Moa fPrecp,Wellington High Moa cm,Wellington High Moa stat,Wellington High Moa,Restriction level
15/10/2024,289,4.0,2,10,31,0,1,56.40415112842877,65.50518891053596,13,11.0,5.6,1.0,0.0,0,73.99999999999997,69.20000000000005,66.20000000000005,64.79999999999995,64.80000000000018,25.40000000000007,3,25.4,39.4,0.0,1.0,2.0,3.0,0.24284972209593494,53.969110113959715,61.489964785436925,0.8404872997208251,0.9995223372731967,0.9340139196593192,258,0.0,0.0
16/10/2024,290,1.4,3,10,31,0,2,46.523320902743016,56.40415112842877,13,13.0,7.1,5.6,0.0,10,73.19999999999997,70.20000000000005,68.80000000000004,68.79999999999995,29.40000000000019,4.000000000000071,3,4.0,25.4,39.4,2.0,1.0,2.0,0.25951179706979943,45.455054895004885,53.969110113959715,0.8404872997208251,0.998428113460459,0.9340139196593192,305,0.0,0.0
17/10/2024,291,0.0,3,10,31,0,3,37.21865672219442,46.523320902743016,16,13.0,11.5,7.1,0.0,7,71.59999999999998,70.20000000000005,70.20000000000005,30.79999999999996,5.400000000000192,1.400000000000071,3,1.4,4.0,25.4,3.0,2.0,1.0,0.276096973097468,37.21545132538835,45.455054895004885,0.9251270997870064,0.997361753981901,0.9340139196593192,229,0.0,0.0
18/10/2024,292,0.0,2,10,31,0,4,29.774925377755537,37.21865672219442,17,16.0,3.8,11.5,0.0,3,70.19999999999997,70.20000000000005,30.80000000000004,5.399999999999965,1.4000000000001918,0.0,3,0.0,1.4,4.0,3.0,3.0,2.0,0.2926003356333479,30.46943448977218,37.21545132538835,0.9562057595483794,0.996913096190855,0.9340139196593192,192,0.0,0.0
19/10/2024,293,0.0,2,10,31,0,5,23.81994030220443,29.774925377755537,20,17.0,10.1,3.8,0.0,39,70.19999999999997,30.800000000000054,5.400000000000043,1.3999999999999644,0.0,0.0,3,0.0,0.0,1.4,2.0,3.0,3.0,0.30901699437494723,24.946263045671408,30.46943448977218,1.0562160372012162,0.992822462436072,0.9340139196593192,169,0.0,0.0
20/10/2024,294,0.0,4,10,31,0,6,19.055952241763546,23.81994030220443,20,20.0,11.9,10.1,0.0,2,30.799999999999976,5.400000000000057,1.4000000000000425,0.0,0.0,0.0,3,0.0,0.0,0.0,2.0,2.0,3.0,0.32534208471198034,20.42427272986398,24.946263045671408,1.0562160372012162,0.9934969248962621,0.9340139196593192,204,0.0,0.0
21/10/2024,295,0.0,3,10,31,0,0,15.244761793410838,19.055952241763546,18,20.0,8.6,11.9,0.0,0,5.399999999999979,1.4000000000000568,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,4.0,2.0,2.0,0.34157076916785517,16.721980193191623,20.42427272986398,0.9885236861586202,0.9939076077260806,0.9340139196593192,222,0.0,0.0
22/10/2024,296,0.0,4,10,31,0,1,12.195809434728671,15.244761793410838,21,18.0,11.6,8.6,0.0,0,1.3999999999999786,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,3.0,4.0,2.0,0.35769823883312546,13.690799436526873,16.721980193191623,1.091198186294368,0.9996809718198854,0.9340139196593192,275,0.0,0.0
23/10/2024,297,0.0,3,10,31,0,2,9.756647547782938,12.195809434728671,16,21.0,1.2,11.6,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,4.0,3.0,4.0,0.3737197147904684,11.209078532907256,13.690799436526873,0.9251270997870064,0.999840192008136,0.9340139196593192,167,0.0,0.0
24/10/2024,298,1.4,5,10,31,0,3,9.20531803822635,9.756647547782938,17,16.0,9.4,1.2,0.0,0,-2.1316282072803006e-14,5.684341886080802e-14,4.263256414560601e-14,-3.552713678800501e-14,1.9184653865522705e-13,7.105427357601002e-14,3,0.0,0.0,0.0,3.0,4.0,3.0,0.38963044953078774,10.446102037011524,11.209078532907256,0.9562057595483794,0.999840192008136,0.9340139196593192,192,0.0,0.0
25/10/2024,299,3.4,3,10,31,0,4,10.764254430581081,9.20531803822635,17,17.0,0.0,9.4,9.666666666666666,3,1.3999999999999786,1.4000000000000568,1.4000000000000425,1.3999999999999644,1.4000000000001918,1.400000000000071,3,1.4,0.0,0.0,5.0,3.0,4.0,0.4054257283599965,11.634122185166193,10.446102037011524,0.9562057595483794,0.9993642862139712,0.9340139196593192,193,0.0,0.0
26/10/2024,300,14.8,2,10,31,0,5,23.411403544464868,10.764254430581081,18,17.0,0.4,0.0,18.428571428571427,0,4.799999999999979,4.8000000000000576,4.800000000000043,4.799999999999965,4.800000000000193,3.4000000000000696,3,3.4,1.4,0.0,3.0,5.0,3.0,0.42110087079608916,22.93913789029172,11.634122185166193,0.9885236861586202,0.9995223372731967,0.9340139196593192,222,0.0,0.0
27/10/2024,301,8.0,4,10,31,0,6,26.729122835571896,23.411403544464868,16,18.0,7.8,0.4,18.142857142857142,0,19.59999999999998,19.60000000000006,19.600000000000044,19.599999999999966,18.200000000000195,14.800000000000072,3,14.8,3.4,1.4,2.0,3.0,5.0,0.43665123195606304,26.031747516758934,22.93913789029172,0.9251270997870064,0.9995223372731967,0.9340139196593192,164,0.0,0.0
