Date,Lower Hutt,Petone,Wainuiomata,Upper Hutt,Porirua,Wellington High (Moa),Wellington High (Western),Wellington Low Level,North Wellington (Moa),North Wellington (Porirua)
2009-01-19,279.0414029,295.5934195,230.6776396,246.609855,243.8246673,254.8786831,255.6188017,272.7146484,270.0212271,261.180645
2009-01-20,298.8920421,359.4880078,225.5469652,214.8342458,239.5584604,297.3859263,298.2479531,300.5273667,225.9096187,218.5162963
2009-01-21,326.9444483,224.8661323,188.3809514,242.9640903,255.9699924,296.7608083,297.6195017,317.4033375,258.8451962,250.3774676
2009-01-22,307.1918991,474.1296908,224.6789356,258.356292,230.209384,325.3499519,326.2897016,283.5648625,212.7923677,205.8340429
2009-01-23,312.7642903,346.2724727,258.6612894,262.2390717,250.303291,301.8090598,302.6792661,302.9778477,205.8093479,199.0821297
2009-01-24,355.7015966,350.5296177,279.0943908,313.2153969,275.5060451,310.5324511,311.4262177,316.9562064,296.3611682,286.6780907
2009-01-25,377.5479845,330.5108344,271.972292,345.8679274,294.8370336,289.6214783,290.4535749,312.1279208,321.6025792,311.0990981
2009-01-26,379.2706814,342.7521181,230.0802152,279.1314639,279.4127238,374.7947803,375.8696627,340.0570292,285.826579,276.4953703
2009-01-27,265.149286,382.0639393,241.5708394,224.2763345,233.7261849,311.3790706,312.2704856,272.7596614,184.0257906,178.02048
2009-01-28,309.0515131,339.0903093,175.450363,261.6208257,265.989824,339.133669,340.1028015,301.589662,255.6244044,247.2860467
2009-01-29,293.6619602,305.548705,191.9560629,262.672068,235.6716365,291.4748621,292.3063075,289.7735024,229.7182898,222.22806
2009-01-30,354.1059701,371.1980078,262.7959393,301.9653876,277.3801469,331.5947165,332.5389061,340.8492897,269.0308754,260.2624225
2009-01-31,379.7335043,361.6317925,303.7754568,333.8820342,296.8610983,313.7624224,314.6542279,340.5720171,320.6026998,310.1576805
2009-02-01,333.4574461,361.8033196,247.9292556,306.2101499,256.6547925,290.073698,290.8966865,294.0975991,260.7614399,252.2695063
2009-02-02,352.7725184,354.4125931,220.1079328,264.4570041,309.1655268,370.2054905,371.2539293,345.0527633,291.1746787,281.696216
